Rank,Rank100,Rank300,Rank500,Player,@001nic2nÏco3vöe,Age,Points,TournamentPlayed,Weightkg,Heightcm,Win,Lose,Prizemoney,Aces,DoubleFaults,@1stServe,@1stServePointsWon,@2ndServePointsWon,BreakPointsFaced,BreakPointsSaved,ServiceGamesPlayed,ServiceGamesWon,TotalServicePointsWon,@1stServeReturnPointsWon,@2ndServeReturnPointsWon,BreakPointsOpportunities,BreakPointsConverted,ReturnGamesPlayed,ReturnGamesWon,ReturnPointsWon,TotalPointsWon,VAR00001
320,4,2,1,Yasutaka Uchiyama,3,30,158,21,78.0,183,0,1,58644,7,0,.63,.79,.59,6,.67,9.000,.78,.72,.27,.30,1,.00,10.000,.00,.28,.46, 
321,4,2,1,Clement Tabur,1,22,158,23,73.0,173,0,0,36737,,,,,,,,,,,,,,,,,,, 
322,4,2,1,Oliver Crawford,1,23,158,26,84.0,180,0,0,48191,,,,,,,,,,,,,,,,,,, 
323,4,2,1,Gabriel Decamps,1,23,158,27,80.0,193,0,0,23246,,,,,,,,,,,,,,,,,,, 
324,4,2,1,Alexey Vatutin,3,30,158,29,69.0,178,0,1,37306,1,1,.68,.56,.33,4,.00,9.000,.56,.49,.25,.33,1,1.00,9.000,.11,.27,.38, 
325,4,2,1,Nicolas Alvarez,0,26,157,21,80.0,185,0,2,21038,,,,,,,,,,,,,,,,,,, 
326,4,2,1,Elmar Ejupovic,1,29,157,22,90.0,193,0,0,21434,,,,,,,,,,,,,,,,,,, 
327,4,2,1,Murkel Dellien,0,25,156,26,83.0,193,0,3,25084,,,,,,,,,,,,,,,,,,, 
328,4,2,1,Dragos Nicolae Madaras,3,25,154,26,85.0,191,0,3,30359,3,6,.56,.61,.46,10,.60,9.000,.56,.55,.14,.44,1,.00,8.000,.00,.26,.42, 
329,4,2,1,Sam Querrey,3,35,152,10,95.0,198,4,10,344668,174,66,.59,.79,.45,80,.60,174.000,.82,.65,.24,.41,70,.24,173.000,.10,.30,.48, 
330,4,2,1,Dmitry Popko,0,26,152,25,87.0,191,0,1,124867,,,,,,,,,,,,,,,,,,, 
331,4,2,1,Max Houkes,1,22,150,23,78.0,188,0,0,22266,,,,,,,,,,,,,,,,,,, 
332,4,2,1,Valentin Royer,1,21,150,25,86.0,188,0,0,23694,,,,,,,,,,,,,,,,,,, 
333,4,2,1,Rudolf Molleker,1,22,150,27,75.0,185,0,0,31707,,,,,,,,,,,,,,,,,,, 
334,4,2,1,Marc Polmans,1,25,149,11,78.0,188,0,0,66389,,,,,,,,,,,,,,,,,,, 
335,4,2,1,Yunseong Chung,3,24,149,21,78.0,178,0,1,30989,6,0,.67,.69,.47,6,.50,15.000,.80,.62,.19,.42,3,.33,16.000,.06,.27,.45, 
336,4,2,1,Alibek Kachmazov,1,20,149,24,78.0,185,0,0,21119,,,,,,,,,,,,,,,,,,, 
337,4,2,1,Vitaliy Sachko,3,25,149,27,73.0,188,0,1,71596,6,6,.61,.67,.52,7,.71,11.000,.82,.61,.12,.57,3,.33,11.000,.09,.31,.47, 
338,4,2,1,Carlos Lopez Montagud,1,22,148,23,77.0,180,0,0,23728,,,,,,,,,,,,,,,,,,, 
339,4,2,1,Gauthier Onclin,1,21,148,30,77.0,180,0,0,25395,,,,,,,,,,,,,,,,,,, 
340,4,2,1,Mukund Sasikumar,0,25,146,30,78.0,185,0,0,24747,,,,,,,,,,,,,,,,,,, 
341,4,2,1,Joris De Loore,1,29,145,21,86.0,191,0,0,23873,,,,,,,,,,,,,,,,,,, 
342,4,2,1,Andrea Arnaboldi,1,34,144,22,72.0,180,0,0,95440,,,,,,,,,,,,,,,,,,, 
343,4,2,1,Viktor Durasovic,3,25,143,23,80.0,185,1,5,42207,25,13,.58,.65,.42,38,.58,39.000,.59,.56,.17,.34,5,.40,41.000,.05,.23,.41, 
344,4,2,1,Maxime Janvier,1,26,143,25,85.0,196,0,0,57291,,,,,,,,,,,,,,,,,,, 
345,4,2,1,Christian Harrison,3,28,141,12,77.0,180,1,2,119730,9,4,.70,.65,.60,12,.50,26.000,.77,.64,.25,.49,16,.25,26.000,.15,.35,.49, 
346,4,2,1,Filip Horansky,0,29,141,22,77.0,191,1,1,114380,,,,,,,,,,,,,,,,,,, 
347,4,2,1,Aljaz Bedene,3,33,140,9,73.0,183,4,10,355127,113,62,.55,.73,.47,131,.63,199.000,.75,.61,.30,.41,87,.40,200.000,.18,.34,.48, 
348,4,2,1,Prajnesh Gunneswaran,3,33,140,24,80.0,188,0,2,54743,2,0,.68,.59,.46,10,.60,10.000,.60,.55,.33,.45,5,.40,10.000,.20,.38,.47, 
349,4,2,1,Pedro Boscardin Dias,1,19,139,24,75.0,180,0,0,19187,,,,,,,,,,,,,,,,,,, 
350,4,2,1,Kenny De Schepper,1,35,139,26,100.0,203,0,0,19620,,,,,,,,,,,,,,,,,,, 
351,4,2,1,Alexander Weis,1,25,139,27,83.0,188,0,0,24679,,,,,,,,,,,,,,,,,,, 
352,4,2,1,Pablo Llamas Ruiz,1,20,137,21,80.0,188,0,0,18191,,,,,,,,,,,,,,,,,,, 
353,4,2,1,Giovanni Oradini,1,25,136,29,85.0,188,0,0,24578,,,,,,,,,,,,,,,,,,, 
354,4,2,1,Andreas Seppi,3,38,135,14,78.0,191,2,5,244190,35,15,.58,.69,.47,63,.62,89.000,.73,.60,.24,.47,39,.41,91.000,.18,.32,.47, 
355,4,2,1,Billy Harris,1,27,135,31,86.0,193,0,0,39137,,,,,,,,,,,,,,,,,,, 
356,4,2,1,Remy Bertola,1,24,134,24,,,,,,,,,,,,,,,,,,,,,,,, 
357,4,2,1,Henri Squire,3,22,133,25,82.0,196,0,1,38127,3,0,.55,.91,.44,1,.00,4.000,.75,.70,.20,.33,0,.00,3.000,.00,.25,.50, 
358,4,2,1,Moez Echargui,0,29,132,23,73.0,178,0,1,23209,,,,,,,,,,,,,,,,,,, 
359,4,2,1,Daniel Cukierman,1,27,132,24,,,,,,,,,,,,,,,,,,,,,,,, 
360,4,2,1,Michael Vrbensky,1,23,132,27,,,0,0,23748,,,,,,,,,,,,,,,,,,, 
361,4,2,1,Antoine Hoang,1,27,131,25,76.0,183,0,0,69487,,,,,,,,,,,,,,,,,,, 
362,4,2,1,Mathys Erhard,1,21,131,25,82.0,188,0,0,22752,,,,,,,,,,,,,,,,,,, 
363,4,2,1,Sergey Fomin,0,21,130,19,,180,2,2,18600,,,,,,,,,,,,,,,,,,, 
364,4,2,1,Filip Peliwo,1,28,130,28,76.0,180,0,0,23828,,,,,,,,,,,,,,,,,,, 
365,4,2,1,Andrew Paulson,1,21,129,26,85.0,191,0,0,21423,,,,,,,,,,,,,,,,,,, 
366,4,2,1,Edoardo Lavagno,1,24,129,26,76.0,185,0,0,23141,,,,,,,,,,,,,,,,,,, 
367,4,2,1,Tristan Schoolkate,1,21,128,26,87.0,183,0,0,39920,,,,,,,,,,,,,,,,,,, 
368,4,2,1,Benjamin Lock,0,29,128,30,86.0,198,1,1,22372,,,,,,,,,,,,,,,,,,, 
369,4,2,1,Andrey Chepelev,1,24,128,34,76.0,178,0,0,26119,,,,,,,,,,,,,,,,,,, 
370,4,2,1,Giovanni Mpetshi Perricard,1,19,127,17,98.0,203,0,0,16673,,,,,,,,,,,,,,,,,,, 
371,4,2,1,Alex Rybakov,1,25,127,22,77.0,185,0,0,41001,,,,,,,,,,,,,,,,,,, 
372,4,2,1,Aidan McHugh,1,22,127,26,70.0,178,0,0,47135,,,,,,,,,,,,,,,,,,, 
373,4,2,1,Gerald Melzer,3,32,126,16,80.0,188,0,1,60925,2,3,.56,.65,.38,4,.50,6.000,.67,.53,.17,.63,2,.50,6.000,.17,.28,.41, 
374,4,2,1,Marius Copil,3,32,125,22,87.0,191,0,4,63874,11,2,.63,.76,.57,4,.50,15.000,.87,.69,.23,.38,2,.00,16.000,.00,.26,.47, 
375,4,2,1,Stuart Parker,1,25,125,24,78.0,185,0,0,34518,,,,,,,,,,,,,,,,,,, 
376,4,2,1,Charles Broom,1,24,125,26,82.0,178,0,0,37752,,,,,,,,,,,,,,,,,,, 
377,4,2,1,Oleksandr Ovcharenko,1,21,125,28,81.0,185,0,0,22904,,,,,,,,,,,,,,,,,,, 
378,4,2,1,Cem Ilkel,3,27,124,9,81.0,185,1,4,79202,5,7,.65,.65,.41,10,.30,19.000,.63,.56,.26,.41,4,.50,19.000,.11,.32,.44, 
379,4,2,1,Edan Leshem,3,25,124,24,72.0,183,1,3,33650,2,3,.66,.73,.54,10,.70,17.000,.82,.67,.23,.55,9,.33,17.000,.18,.37,.52, 
380,4,2,1,Dominik Palan,1,22,124,26,85.0,191,0,0,18708,,,,,,,,,,,,,,,,,,, 
381,4,2,1,Lucas Pouille,3,28,122,14,84.0,185,3,6,235282,45,41,.56,.72,.47,86,.63,124.000,.74,.61,.30,.48,65,.37,124.000,.19,.37,.49, 
382,4,2,1,Arthur Cazaux,0,20,121,12,73.0,183,0,0,30129,,,,,,,,,,,,,,,,,,, 
383,4,2,1,Jason Jung,0,33,121,21,69.0,180,0,1,107539,,,,,,,,,,,,,,,,,,, 
384,4,2,1,Ergi Kirkin,0,23,121,25,75.0,180,0,0,20464,,,,,,,,,,,,,,,,,,, 
385,4,2,1,Maks Kasnikowski,1,19,120,20,78.0,180,0,0,17163,,,,,,,,,,,,,,,,,,, 
386,4,2,1,Alvaro Lopez San Martin,1,25,120,23,70.0,178,0,0,21294,,,,,,,,,,,,,,,,,,, 
387,4,2,1,Guido Andreozzi,0,31,119,4,78.0,183,0,0,16145,,,,,,,,,,,,,,,,,,, 
388,4,2,1,Evgeny Donskoy,1,32,119,18,75.0,185,0,0,51424,,,,,,,,,,,,,,,,,,, 
389,4,2,1,Alberto Barroso Campos,1,26,119,21,72.0,178,0,0,21001,,,,,,,,,,,,,,,,,,, 
390,4,2,1,Akira Santillan,1,25,119,25,78.0,180,0,0,38323,,,,,,,,,,,,,,,,,,, 
391,4,2,1,Govind Nanda,1,21,118,21,70.0,178,0,0,55033,,,,,,,,,,,,,,,,,,, 
392,4,2,1,Mirza Basic,3,31,118,24,88.0,188,1,3,78137,12,3,.56,.68,.54,17,.47,35.000,.74,.62,.29,.44,21,.33,36.000,.19,.34,.48, 
393,4,2,1,Vladyslav Orlov,0,27,117,22,78.0,188,0,1,20653,,,,,,,,,,,,,,,,,,, 
394,4,2,1,Giovanni Fonio,1,24,116,27,78.0,183,0,0,21571,,,,,,,,,,,,,,,,,,, 
395,4,2,1,Daniel Cox,1,32,115,20,68.0,170,0,0,22696,,,,,,,,,,,,,,,,,,, 
396,4,2,1,Duje Ajdukovic,3,21,115,23,78.0,188,0,1,87519,3,3,.41,.48,.44,8,.25,10.000,.40,.46,.36,.54,11,.36,10.000,.40,.43,.44, 
397,4,2,1,Johan Nikles,3,25,114,17,68.0,173,1,1,27981,1,0,.66,.61,.53,20,.55,29.000,.69,.59,.30,.52,15,.40,28.000,.21,.38,.48, 
398,4,2,1,Yuta Shimizu,3,23,114,24,62.0,163,0,1,32114,1,3,.50,.52,.41,7,.29,8.000,.38,.47,.23,.60,5,.20,8.000,.13,.34,.41, 
399,4,2,1,Juan Bautista Otegui,1,23,114,24,83.0,191,0,0,18189,,,,,,,,,,,,,,,,,,, 
400,4,2,1,Sebastian Fanselow,1,30,114,25,,,0,0,22776,,,,,,,,,,,,,,,,,,, 
401,5,2,1,Cezar Cretu,1,21,114,26,83.0,188,0,0,20290,,,,,,,,,,,,,,,,,,, 
402,5,2,1,Mark Lajal,0,19,112,22,78.0,188,1,2,18422,,,,,,,,,,,,,,,,,,, 
403,5,2,1,Kyle Seelig,1,25,112,25,79.0,175,0,0,20166,,,,,,,,,,,,,,,,,,, 
404,5,2,1,Keegan Smith,1,24,111,20,93.0,198,0,0,21615,,,,,,,,,,,,,,,,,,, 
405,5,2,1,James McCabe,1,19,111,24,82.0,188,0,0,35983,,,,,,,,,,,,,,,,,,, 
406,5,2,1,Ben Patael,1,25,111,24,80.0,188,0,0,20288,,,,,,,,,,,,,,,,,,, 
407,5,2,1,Jakub Mensik,1,17,109,18,83.0,191,0,0,19699,,,,,,,,,,,,,,,,,,, 
408,5,2,1,Jose Pereira,1,31,109,18,74.0,180,0,0,15602,,,,,,,,,,,,,,,,,,, 
409,5,2,1,Mathias Bourgue,1,28,109,19,83.0,188,0,0,33593,,,,,,,,,,,,,,,,,,, 
410,5,2,1,Jurgen Briand,1,23,109,20,70.0,178,0,0,16693,,,,,,,,,,,,,,,,,,, 
411,5,2,1,Illya Marchenko,0,35,108,20,87.0,185,1,0,75992,,,,,,,,,,,,,,,,,,, 
412,5,2,1,Gianmarco Ferrari,1,22,108,22,88.0,191,0,0,30113,,,,,,,,,,,,,,,,,,, 
413,5,2,1,Gustavo Heide,1,20,107,12,73.0,188,0,0,25372,,,,,,,,,,,,,,,,,,, 
414,5,2,1,Matteo Martineau,1,23,107,22,76.0,183,0,0,20439,,,,,,,,,,,,,,,,,,, 
415,5,2,1,Damien Wenger,1,22,107,22,68.0,173,0,0,19511,,,,,,,,,,,,,,,,,,, 
416,5,2,1,Philipp Kohlschreiber,3,39,106,5,70.0,178,1,3,190916,17,11,.67,.70,.44,35,.54,51.000,.69,.61,.31,.40,24,.29,51.000,.14,.35,.48, 
417,5,2,1,Thiago Seyboth Wild,3,22,106,18,80.0,185,1,2,76885,11,4,.59,.64,.48,13,.46,22.000,.68,.58,.28,.53,13,.31,23.000,.17,.36,.47, 
418,5,2,1,Carlos Sanchez Jover,1,22,106,22,65.0,173,0,0,16161,,,,,,,,,,,,,,,,,,, 
419,5,2,1,Alex Marti Pujolras,1,23,106,25,73.0,185,0,0,18515,,,,,,,,,,,,,,,,,,, 
420,5,2,1,Daniel Rincon,1,19,106,26,85.0,185,0,0,30885,,,,,,,,,,,,,,,,,,, 
421,5,2,1,Sascha Gueymard Wayenburg,1,19,105,21,80.0,188,0,0,35361,,,,,,,,,,,,,,,,,,, 
422,5,2,1,Matias Franco Descotte,1,28,105,23,87.0,191,0,0,20000,,,,,,,,,,,,,,,,,,, 
423,5,2,1,Max Hans Rehberg,3,19,104,22,80.0,183,0,2,34752,1,8,.60,.65,.39,18,.44,23.000,.57,.55,.33,.59,12,.33,22.000,.18,.39,.47, 
424,5,2,1,Eduardo Ribeiro,1,24,104,22,75.0,178,0,0,17295,,,,,,,,,,,,,,,,,,, 
425,5,2,1,Federico Gaio,3,30,104,24,83.0,178,0,1,84734,4,2,.46,.79,.38,10,.70,10.000,.70,.57,.26,.55,4,.25,10.000,.10,.35,.46, 
426,5,2,1,Juan Pablo Paz,1,27,104,27,,170,0,0,19097,,,,,,,,,,,,,,,,,,, 
427,5,2,1,Facundo Juarez,1,25,103,21,72.0,180,0,0,16349,,,,,,,,,,,,,,,,,,, 
428,5,2,1,Jerome Kym,1,19,102,18,87.0,198,0,0,21634,,,,,,,,,,,,,,,,,,, 
429,5,2,1,Adrian Menendez-Maceiras,1,37,100,11,75.0,183,0,0,12344,,,,,,,,,,,,,,,,,,, 
430,5,2,1,Samuel Vincent Ruggeri,1,20,100,28,85.0,191,0,0,20534,,,,,,,,,,,,,,,,,,, 
431,5,2,1,Adam Walton,1,23,99,15,77.0,183,0,0,16404,,,,,,,,,,,,,,,,,,, 
432,5,2,1,Alafia Ayeni,1,23,99,17,84.0,191,0,0,14792,,,,,,,,,,,,,,,,,,, 
433,5,2,1,Malek Jaziri,3,38,99,23,83.0,185,2,4,61138,15,6,.55,.69,.48,30,.57,43.000,.70,.59,.24,.39,13,.46,44.000,.14,.30,.45, 
434,5,2,1,Ramkumar Ramanathan,3,28,98,23,81.0,188,2,4,127761,24,14,.64,.73,.49,19,.63,41.000,.83,.65,.21,.47,17,.24,41.000,.10,.31,.48, 
435,5,2,1,Oscar Jose Gutierrez,1,29,97,21,67.0,170,0,0,16258,,,,,,,,,,,,,,,,,,, 
436,5,2,1,Strong Kirchheimer,1,27,97,25,79.0,185,0,0,14499,,,,,,,,,,,,,,,,,,, 
437,5,2,1,Martin Krumich,1,20,96,23,82.0,188,0,0,16198,,,,,,,,,,,,,,,,,,, 
438,5,2,1,Wilson Leite,1,31,96,25,72.0,178,0,0,17293,,,,,,,,,,,,,,,,,,, 
439,5,2,1,Karl Friberg,1,23,96,26,85.0,191,0,0,21724,,,,,,,,,,,,,,,,,,, 
440,5,2,1,Oleg Prihodko,1,25,95,28,77.0,180,0,0,17633,,,,,,,,,,,,,,,,,,, 
441,5,2,1,Andrey Kuznetsov,3,31,94,14,70.0,183,0,1,98199,5,6,.55,.61,.41,10,.20,17.000,.53,.52,.43,.44,13,.46,17.000,.35,.44,.48, 
442,5,2,1,Carlos Gimeno Valero,3,21,94,13,81.0,191,0,1,42400,0,1,.80,.52,.38,6,.33,7.000,.43,.49,.08,.33,0,.00,8.000,.00,.16,.33, 
443,5,2,1,Mats Rosenkranz,1,24,93,26,83.0,193,0,0,25991,,,,,,,,,,,,,,,,,,, 
444,5,2,1,Andrej Martin,3,33,92,16,83.0,183,0,1,81718,1,1,.64,.64,.50,3,.00,10.000,.70,.59,.29,.31,2,.00,9.000,.00,.29,.45, 
445,5,2,1,Lucas Miedler,1,26,92,16,78.0,183,0,0,26021,,,,,,,,,,,,,,,,,,, 
446,5,2,1,Kyrian Jacquet,1,21,92,18,68.0,175,0,0,14910,,,,,,,,,,,,,,,,,,, 
447,5,2,1,Hady Habib,0,24,92,19,88.0,188,2,1,22472,,,,,,,,,,,,,,,,,,, 
448,5,2,1,Nick Chappell,3,30,91,22,82.0,178,0,1,24174,1,1,.60,.68,.56,2,.00,10.000,.80,.63,.16,.32,0,.00,10.000,.00,.22,.44, 
449,5,2,1,Omni Kumar,1,21,91,31,68.0,175,0,0,20330,,,,,,,,,,,,,,,,,,, 
450,5,2,1,David Poljak,1,26,89,23,77.0,188,0,0,17136,,,,,,,,,,,,,,,,,,, 
451,5,2,1,Valerio Aboian,1,20,89,24,73.0,183,0,0,17632,,,,,,,,,,,,,,,,,,, 
452,5,2,1,Marko Topo,3,19,88,22,81.0,185,0,2,33668,3,7,.52,.75,.38,15,.53,18.000,.61,.57,.19,.24,4,.00,18.000,.00,.21,.41, 
453,5,2,1,Sandro Kopp,1,22,88,26,76.0,185,0,0,17123,,,,,,,,,,,,,,,,,,, 
454,5,2,1,Ethan Quinn,1,18,87,16,82.0,191,0,0,46714,,,,,,,,,,,,,,,,,,, 
455,5,2,1,Martin Damm,1,19,87,19,95.0,203,0,0,42994,,,,,,,,,,,,,,,,,,, 
456,5,2,1,Dayne Kelly,1,32,87,23,,,0,0,16137,,,,,,,,,,,,,,,,,,, 
457,5,2,1,Martin Cuevas,0,30,86,15,90.0,191,1,1,14147,,,,,,,,,,,,,,,,,,, 
458,5,2,1,Francesco Forti,1,23,86,20,80.0,188,0,0,21132,,,,,,,,,,,,,,,,,,, 
459,5,2,1,Jorge Panta,1,27,86,21,76.0,,0,0,13400,,,,,,,,,,,,,,,,,,, 
460,5,2,1,Robin Bertrand,1,19,85,34,70.0,178,0,0,21120,,,,,,,,,,,,,,,,,,, 
461,5,2,1,Mateus Alves,1,21,84,12,88.0,193,0,0,13925,,,,,,,,,,,,,,,,,,, 
462,5,2,1,Bernard Tomic,1,30,84,13,91.0,196,0,0,35732,,,,,,,,,,,,,,,,,,, 
463,5,2,1,Naoki Nakagawa,1,26,84,20,75.0,180,0,0,12922,,,,,,,,,,,,,,,,,,, 
464,5,2,1,Rimpei Kawakami,1,22,83,17,70.0,178,0,0,13158,,,,,,,,,,,,,,,,,,, 
465,5,2,1,Corentin Denolly,1,25,83,20,79.0,188,0,0,13617,,,,,,,,,,,,,,,,,,, 
466,5,2,1,Shintaro Imai,1,29,82,14,74.0,178,0,0,18573,,,,,,,,,,,,,,,,,,, 
467,5,2,1,Denis Istomin,3,36,82,16,86.0,185,1,2,28582,7,3,.68,.72,.39,10,.50,16.000,.69,.62,.19,.53,11,.27,17.000,.18,.34,.47, 
468,5,2,1,Leonardo Aboian,1,24,82,21,73.0,175,0,0,15088,,,,,,,,,,,,,,,,,,, 
469,5,2,1,Ajeet Rai,0,23,82,21,72.0,188,0,2,13734,,,,,,,,,,,,,,,,,,, 
470,5,2,1,Abdullah Shelbayh,1,19,81,10,74.0,183,0,0,10748,,,,,,,,,,,,,,,,,,, 
471,5,2,1,Calvin Hemery,1,27,81,19,83.0,191,0,0,14875,,,,,,,,,,,,,,,,,,, 
472,5,2,1,Felix Gill,1,20,81,21,80.0,175,0,0,30969,,,,,,,,,,,,,,,,,,, 
473,5,2,1,Arthur Fery,1,20,80,13,75.0,173,0,0,40408,,,,,,,,,,,,,,,,,,, 
474,5,2,1,David Pichler,1,26,80,26,72.0,178,0,0,16192,,,,,,,,,,,,,,,,,,, 
475,5,2,1,Dino Prizmic,3,17,79,13,80.0,188,0,1,19039,0,2,.54,.48,.35,8,.38,6.000,.17,.42,.41,.62,5,.60,7.000,.43,.47,.44, 
476,5,2,1,JiSung Nam,3,29,79,16,80.0,183,0,2,24475,9,3,.54,.84,.53,4,.75,11.000,.91,.70,.09,.33,0,.00,11.000,.00,.21,.47, 
477,5,2,1,Colin Sinclair,0,28,79,21,82.0,188,0,1,12747,,,,,,,,,,,,,,,,,,, 
478,5,2,1,Yshai Oliel,3,22,79,21,78.0,188,2,1,23544,1,4,.60,.61,.43,9,.67,8.000,.63,.54,.09,.50,3,.00,9.000,.00,.24,.39, 
479,5,2,1,Alexis Gautier,1,25,78,20,75.0,198,0,0,17193,,,,,,,,,,,,,,,,,,, 
480,5,2,1,Federico Arnaboldi,1,22,78,23,78.0,185,0,0,16686,,,,,,,,,,,,,,,,,,, 
481,5,2,1,Ilya Snitari,1,20,78,24,80.0,188,0,0,14764,,,,,,,,,,,,,,,,,,, 
482,5,2,1,August Holmgren,0,24,77,12,84.0,188,0,0,10356,,,,,,,,,,,,,,,,,,, 
483,5,2,1,Matias Zukas,1,26,77,20,72.0,183,0,0,11830,,,,,,,,,,,,,,,,,,, 
484,5,2,1,Robert Strombachs,0,23,77,30,78.0,191,2,0,16890,,,,,,,,,,,,,,,,,,, 
485,5,2,1,Luca Potenza,1,22,75,20,64.0,,0,0,15823,,,,,,,,,,,,,,,,,,, 
486,5,2,1,Elliot Benchetrit,3,24,74,18,88.0,193,0,2,22253,3,5,.61,.74,.36,6,.50,9.000,.67,.59,.22,.44,6,.00,9.000,.00,.32,.45, 
487,5,2,1,Jules Marie,1,31,74,21,76.0,185,0,0,13533,,,,,,,,,,,,,,,,,,, 
488,5,2,1,Aldin Setkic,1,35,74,26,86.0,191,0,0,12649,,,,,,,,,,,,,,,,,,, 
489,5,2,1,Khumoyun Sultanov,0,24,73,19,80.0,180,0,0,13297,,,,,,,,,,,,,,,,,,, 
490,5,2,1,Eliakim Coulibaly,1,20,73,19,80.0,183,0,0,13471,,,,,,,,,,,,,,,,,,, 
491,5,2,1,Arklon Huertas Del Pino Cordova,1,28,73,21,81.0,183,0,0,12501,,,,,,,,,,,,,,,,,,, 
492,5,2,1,Ezekiel Clark,1,24,73,29,70.0,170,0,0,16796,,,,,,,,,,,,,,,,,,, 
493,5,2,1,Sam Riffice,1,23,72,10,77.0,188,0,0,9868,,,,,,,,,,,,,,,,,,, 
494,5,2,1,Konstantin Kravchuk,1,37,72,14,80.0,191,0,0,12051,,,,,,,,,,,,,,,,,,, 
495,5,2,1,Pedro Sousa,3,34,72,14,70.0,180,0,1,105527,1,5,.65,.68,.18,13,.62,10.000,.50,.51,.29,.57,9,.22,9.000,.22,.39,.45, 
496,5,2,1,Eduard Esteve Lobato,1,28,72,16,83.0,188,0,0,18999,,,,,,,,,,,,,,,,,,, 
497,5,2,1,Yanki Erel,0,22,72,19,73.0,178,0,1,13314,,,,,,,,,,,,,,,,,,, 
498,5,2,1,Stefano Napolitano,0,27,72,22,90.0,196,0,0,17766,,,,,,,,,,,,,,,,,,, 
499,5,2,1,Sebastian Gima,1,20,72,28,75.0,,0,0,14814,,,,,,,,,,,,,,,,,,, 
500,5,2,1,Julian Lenz,1,29,71,17,82.0,188,0,0,19220,,,,,,,,,,,,,,,,,,, 
501,6,2,2,Gage Brymer,1,27,71,30,70.0,185,0,0,19325,,,,,,,,,,,,,,,,,,, 
502,6,2,2,Sumit Nagal,0,25,70,15,69.0,178,1,0,47622,,,,,,,,,,,,,,,,,,, 
503,6,2,2,Nicola Kuhn,3,22,70,17,80.0,185,0,2,110985,5,10,.66,.67,.52,24,.71,32.000,.78,.62,.24,.39,6,.33,34.000,.06,.29,.46, 
504,6,2,2,Michail Pervolarakis,3,26,70,21,90.0,193,2,4,71924,10,13,.55,.75,.42,14,.29,36.000,.72,.60,.24,.49,11,.45,37.000,.14,.34,.48, 
505,6,2,2,Goncalo Oliveira,1,27,70,26,79.0,185,0,0,20055,,,,,,,,,,,,,,,,,,, 
506,6,2,2,Alfredo Perez,1,25,69,21,79.0,193,0,0,10913,,,,,,,,,,,,,,,,,,, 
507,6,2,2,Leo Borg,3,19,69,29,77.0,183,0,1,23357,3,3,.64,.51,.59,10,.50,14.000,.64,.54,.30,.36,5,.60,15.000,.20,.33,.44, 
508,6,2,2,Inaki Montes-De La Torre,1,20,68,11,79.0,178,0,0,10484,,,,,,,,,,,,,,,,,,, 
509,6,2,2,Nicolas Barrientos,3,35,68,11,75.0,175,1,1,15648,5,10,.56,.64,.31,13,.46,15.000,.53,.49,.37,.53,10,.60,14.000,.43,.44,.47, 
510,6,2,2,Alejo Lorenzo Lingua Lavallen,1,21,68,15,72.0,175,0,0,11751,,,,,,,,,,,,,,,,,,, 
511,6,2,2,Mili Poljicak,3,18,68,17,93.0,185,0,1,16264,3,4,.53,.65,.38,24,.75,13.000,.54,.52,.43,.37,13,.23,14.000,.21,.41,.47, 
512,6,2,2,Christian Langmo,1,26,68,20,91.0,191,0,0,13601,,,,,,,,,,,,,,,,,,, 
513,6,2,2,Eric Vanshelboim,1,21,68,24,87.0,188,0,0,14222,,,,,,,,,,,,,,,,,,, 
514,6,2,2,Bogdan Bobrov,1,25,68,25,74.0,185,0,0,15944,,,,,,,,,,,,,,,,,,, 
515,6,2,2,Ignacio Monzon,1,24,68,29,73.0,173,0,0,13333,,,,,,,,,,,,,,,,,,, 
516,6,2,2,Kris Van Wyk,1,26,67,17,78.0,185,0,0,12431,,,,,,,,,,,,,,,,,,, 
517,6,2,2,Stefan Palosi,1,22,67,22,81.0,180,0,0,13530,,,,,,,,,,,,,,,,,,, 
518,6,2,2,Daniel Merida,1,18,67,22,80.0,188,0,0,22049,,,,,,,,,,,,,,,,,,, 
519,6,2,2,Simon Beaupain,1,23,67,23,76.0,178,0,0,14247,,,,,,,,,,,,,,,,,,, 
520,6,2,2,Marcello Serafini,1,20,67,24,90.0,188,0,0,13691,,,,,,,,,,,,,,,,,,, 
521,6,2,2,Patrick Kypson,0,23,66,14,82.0,188,0,0,10471,,,,,,,,,,,,,,,,,,, 
522,6,2,2,Murphy Cassone,1,20,65,8,79.0,188,0,0,30550,,,,,,,,,,,,,,,,,,, 
523,6,2,2,Rubin Statham,0,35,65,25,83.0,180,2,0,17639,,,,,,,,,,,,,,,,,,, 
524,6,2,2,Mark Whitehouse,1,29,65,28,80.0,188,0,0,15537,,,,,,,,,,,,,,,,,,, 
525,6,2,2,Gergely Madarasz,1,28,64,14,81.0,180,0,0,12247,,,,,,,,,,,,,,,,,,, 
526,6,2,2,Aidan Mayo,1,19,64,19,75.0,183,0,0,9773,,,,,,,,,,,,,,,,,,, 
527,6,2,2,Sekou Bangoura,1,31,64,19,77.0,183,0,0,14511,,,,,,,,,,,,,,,,,,, 
528,6,2,2,Makoto Ochi,1,26,64,20,65.0,175,0,0,13249,,,,,,,,,,,,,,,,,,, 
